Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
West Ham United,Pablo Fornals,23,Spain,Attacking Midfield,AM,£22.50m,Villarreal CF,Spain,£25.20m,In,2019,s,premier-league,https://www.transfermarkt.co.uk/pablo-fornals/profil/spieler/357885
West Ham United,Albian Ajeti,22,Switzerland,Centre-Forward,CF,£6.30m,FC Basel 1893,Switzerland,£7.83m,In,2019,s,premier-league,https://www.transfermarkt.co.uk/albian-ajeti/profil/spieler/195906
West Ham United,Gonçalo Cardoso,18,Portugal,Centre-Back,CB,£2.25m,Boavista Porto FC,Portugal,£2.70m,In,2019,s,premier-league,https://www.transfermarkt.co.uk/goncalo-cardoso/profil/spieler/587106
West Ham United,David Martin,33,England,Goalkeeper,GK,£225Th.,Millwall FC,England,Free transfer,In,2019,s,premier-league,https://www.transfermarkt.co.uk/david-martin/profil/spieler/15930
West Ham United,Roberto,33,Spain,Goalkeeper,GK,£1.35m,RCD Espanyol Barcelona,Spain,Free transfer,In,2019,s,premier-league,https://www.transfermarkt.co.uk/roberto/profil/spieler/37403
West Ham United,Josh Cullen,24,Ireland,Central Midfield,CM,£1.08m,Charlton Athletic,England,"End of loanMay 31, 2020",In,2019,s,premier-league,https://www.transfermarkt.co.uk/josh-cullen/profil/spieler/242606
West Ham United,Roberto,34,Spain,Goalkeeper,GK,£720Th.,Deportivo Alavés,Spain,"End of loanJul 20, 2020",In,2019,s,premier-league,https://www.transfermarkt.co.uk/roberto/profil/spieler/37403
West Ham United,Grady Diangana,22,England,Right Winger,RW,£4.05m,West Bromwich Albion,England,"End of loanMay 31, 2020",In,2019,s,premier-league,https://www.transfermarkt.co.uk/grady-diangana/profil/spieler/342048
West Ham United,Edimilson Fernandes,23,Switzerland,Central Midfield,CM,£7.20m,ACF Fiorentina,Italy,"End of loanJun 30, 2019",In,2019,s,premier-league,https://www.transfermarkt.co.uk/edimilson-fernandes/profil/spieler/247555
West Ham United,Reece Oxford,20,England,Centre-Back,CB,£3.60m,FC Augsburg,Germany,"End of loanJun 30, 2019",In,2019,s,premier-league,https://www.transfermarkt.co.uk/reece-oxford/profil/spieler/314295
Watford FC,Ismaïla Sarr,21,Senegal,Right Winger,RW,£27.00m,Stade Rennais FC,France,£27.00m,In,2019,s,premier-league,https://www.transfermarkt.co.uk/ismaila-sarr/profil/spieler/410225
Watford FC,Craig Dawson,29,England,Centre-Back,CB,£5.40m,West Bromwich Albion,England,£5.40m,In,2019,s,premier-league,https://www.transfermarkt.co.uk/craig-dawson/profil/spieler/121477
Watford FC,Tom Dele-Bashiru,19,Nigeria,Central Midfield,CM,£135Th.,Manchester City U23,England,Free transfer,In,2019,s,premier-league,https://www.transfermarkt.co.uk/tom-dele-bashiru/profil/spieler/346472
Watford FC,Danny Welbeck,28,England,Centre-Forward,CF,£10.80m,Arsenal FC,England,Free transfer,In,2019,s,premier-league,https://www.transfermarkt.co.uk/danny-welbeck/profil/spieler/67063
Watford FC,Kaylen Hinds,21,England,Second Striker,SS,£450Th.,,Without Club,-,In,2019,s,premier-league,https://www.transfermarkt.co.uk/kaylen-hinds/profil/spieler/290788
Watford FC,Ben Wilmot,20,England,Centre-Back,CB,£1.62m,Swansea City,England,"End of loanMay 31, 2020",In,2019,s,premier-league,https://www.transfermarkt.co.uk/ben-wilmot/profil/spieler/467599
Watford FC,Marc Navarro,25,Spain,Right-Back,RB,£1.08m,CD Leganés,Spain,"End of loanJul 20, 2020",In,2019,s,premier-league,https://www.transfermarkt.co.uk/marc-navarro/profil/spieler/335245
Watford FC,Dimitri Foulquier,27,Guadeloupe,Right-Back,RB,£1.80m,Granada CF,Spain,"End of loanJul 20, 2020",In,2019,s,premier-league,https://www.transfermarkt.co.uk/dimitri-foulquier/profil/spieler/170472
Watford FC,Ken Sema,26,Sweden,Left Midfield,LM,£3.60m,Udinese Calcio,Italy,"End of loanAug 31, 2020",In,2019,s,premier-league,https://www.transfermarkt.co.uk/ken-sema/profil/spieler/252345
Watford FC,Cucho Hernández,21,Colombia,Centre-Forward,CF,£6.03m,RCD Mallorca,Spain,"End of loanJul 20, 2020",In,2019,s,premier-league,https://www.transfermarkt.co.uk/cucho-hernandez/profil/spieler/459463
Watford FC,Kwasi Sibo,22,Ghana,Central Midfield,CM,£180Th.,UD Ibiza,Spain,"End of loanJul 27, 2020",In,2019,s,premier-league,https://www.transfermarkt.co.uk/kwasi-sibo/profil/spieler/538006
Watford FC,Cucho Hernández,20,Colombia,Centre-Forward,CF,£9.00m,SD Huesca,Spain,"End of loanJun 30, 2019",In,2019,s,premier-league,https://www.transfermarkt.co.uk/cucho-hernandez/profil/spieler/459463
Watford FC,Dimitri Foulquier,26,Guadeloupe,Right-Back,RB,£3.15m,Getafe CF,Spain,"End of loanJun 30, 2019",In,2019,s,premier-league,https://www.transfermarkt.co.uk/dimitri-foulquier/profil/spieler/170472
Watford FC,Filip Stuparevic,18,Serbia,Centre-Forward,CF,£1.08m,FK Vozdovac,Serbia,"End of loanJun 30, 2019",In,2019,s,premier-league,https://www.transfermarkt.co.uk/filip-stuparevic/profil/spieler/442337
Watford FC,Obbi Oulare,23,Belgium,Centre-Forward,CF,£1.62m,Standard Liège,Belgium,"End of loanJun 30, 2019",In,2019,s,premier-league,https://www.transfermarkt.co.uk/obbi-oulare/profil/spieler/314959
Watford FC,Marvin Zeegelaar,28,Netherlands,Left-Back,LB,£2.25m,Udinese Calcio,Italy,"End of loanJun 30, 2019",In,2019,s,premier-league,https://www.transfermarkt.co.uk/marvin-zeegelaar/profil/spieler/92899
Watford FC,Kwasi Sibo,21,Ghana,Central Midfield,CM,£180Th.,KF Skënderbeu,Albania,"End of loanJun 30, 2019",In,2019,s,premier-league,https://www.transfermarkt.co.uk/kwasi-sibo/profil/spieler/538006
Watford FC,Dodi Lukebakio,21,Belgium,Right Winger,RW,£16.20m,Fortuna Düsseldorf,Germany,"End of loanJun 30, 2019",In,2019,s,premier-league,https://www.transfermarkt.co.uk/dodi-lukebakio/profil/spieler/303259
Watford FC,Stefano Okaka,29,Italy,Centre-Forward,CF,£4.50m,Udinese Calcio,Italy,"End of loanJun 30, 2019",In,2019,s,premier-league,https://www.transfermarkt.co.uk/stefano-okaka/profil/spieler/35249
Watford FC,Ben Wilmot,19,England,Centre-Back,CB,£1.35m,Udinese Calcio,Italy,"End of loanJun 30, 2019",In,2019,s,premier-league,https://www.transfermarkt.co.uk/ben-wilmot/profil/spieler/467599
Crystal Palace,James McCarthy,28,Ireland,Central Midfield,CM,£4.50m,Everton FC,England,£2.97m,In,2019,s,premier-league,https://www.transfermarkt.co.uk/james-mccarthy/profil/spieler/45333
Crystal Palace,Jordan Ayew,27,Ghana,Centre-Forward,CF,£7.20m,Swansea City,England,£2.52m,In,2019,s,premier-league,https://www.transfermarkt.co.uk/jordan-ayew/profil/spieler/108354
Crystal Palace,Víctor Camarasa,25,Spain,Central Midfield,CM,£9.00m,Real Betis Balompié,Spain,Loan fee:£1.35m,In,2019,s,premier-league,https://www.transfermarkt.co.uk/victor-camarasa/profil/spieler/263856
Crystal Palace,Stephen Henderson,31,Ireland,Goalkeeper,GK,£450Th.,Nottingham Forest,England,Free transfer,In,2019,s,premier-league,https://www.transfermarkt.co.uk/stephen-henderson/profil/spieler/52191
Crystal Palace,Gary Cahill,33,England,Centre-Back,CB,£7.20m,Chelsea FC,England,Free transfer,In,2019,s,premier-league,https://www.transfermarkt.co.uk/gary-cahill/profil/spieler/27511
Crystal Palace,Ryan Inniss,24,England,Centre-Back,CB,£135Th.,Newport County,England,"End of loanMay 31, 2020",In,2019,s,premier-league,https://www.transfermarkt.co.uk/ryan-inniss/profil/spieler/183284
Crystal Palace,Connor Wickham,27,England,Centre-Forward,CF,£1.08m,Sheffield Wednesday,England,"End of loanMay 31, 2020",In,2019,s,premier-league,https://www.transfermarkt.co.uk/connor-wickham/profil/spieler/95435
Crystal Palace,Jaroslaw Jach,25,Poland,Centre-Back,CB,£765Th.,Sheriff Tiraspol,Moldova,"End of loanAug 29, 2019",In,2019,s,premier-league,https://www.transfermarkt.co.uk/jaroslaw-jach/profil/spieler/327755
Crystal Palace,Scott Banks,18,Scotland,Left Midfield,LM,£225Th.,Alloa Athletic FC,Scotland,"End of loanMay 31, 2020",In,2019,s,premier-league,https://www.transfermarkt.co.uk/scott-banks/profil/spieler/596821
Crystal Palace,Jason Puncheon,33,England,Attacking Midfield,AM,£2.70m,Huddersfield Town,England,"End of loanJun 30, 2019",In,2019,s,premier-league,https://www.transfermarkt.co.uk/jason-puncheon/profil/spieler/47995
Crystal Palace,Alexander Sörloth,23,Norway,Centre-Forward,CF,£5.40m,KAA Gent,Belgium,"End of loanJun 30, 2019",In,2019,s,premier-league,https://www.transfermarkt.co.uk/alexander-sorloth/profil/spieler/238407
Newcastle United,Joelinton,22,Brazil,Centre-Forward,CF,£31.50m,TSG 1899 Hoffenheim,Germany,£39.60m,In,2019,s,premier-league,https://www.transfermarkt.co.uk/joelinton/profil/spieler/333241
Newcastle United,Allan Saint-Maximin,22,France,Left Winger,LW,£22.50m,OGC Nice,France,£16.20m,In,2019,s,premier-league,https://www.transfermarkt.co.uk/allan-saint-maximin/profil/spieler/272642
Newcastle United,Emil Krafth,25,Sweden,Right-Back,RB,£2.25m,SC Amiens,France,£4.86m,In,2019,s,premier-league,https://www.transfermarkt.co.uk/emil-krafth/profil/spieler/184528
Newcastle United,Jetro Willems,25,Netherlands,Left-Back,LB,£4.50m,Eintracht Frankfurt,Germany,Loan fee:£900Th.,In,2019,s,premier-league,https://www.transfermarkt.co.uk/jetro-willems/profil/spieler/146258
Newcastle United,Jake Turner,20,England,Goalkeeper,GK,£90Th.,Bolton Wanderers,England,Free transfer,In,2019,s,premier-league,https://www.transfermarkt.co.uk/jake-turner/profil/spieler/457128
Newcastle United,Andy Carroll,30,England,Centre-Forward,CF,£7.20m,West Ham United,England,Free transfer,In,2019,s,premier-league,https://www.transfermarkt.co.uk/andy-carroll/profil/spieler/48066
Newcastle United,Kyle Scott,21,United States,Central Midfield,CM,£45Th.,Chelsea FC U23,England,Free transfer,In,2019,s,premier-league,https://www.transfermarkt.co.uk/kyle-scott/profil/spieler/258888
Newcastle United,Dan Barlaser,23,Turkey,Central Midfield,CM,-,Rotherham United,England,"End of loanMay 31, 2020",In,2019,s,premier-league,https://www.transfermarkt.co.uk/dan-barlaser/profil/spieler/256773
Newcastle United,Rolando Aarons,24,England,Left Winger,LW,£360Th.,Motherwell FC,Scotland,"End of loanMay 31, 2020",In,2019,s,premier-league,https://www.transfermarkt.co.uk/rolando-aarons/profil/spieler/258188
Newcastle United,Jacob Murphy,25,England,Right Winger,RW,£3.15m,Sheffield Wednesday,England,"End of loanMay 31, 2020",In,2019,s,premier-league,https://www.transfermarkt.co.uk/jacob-murphy/profil/spieler/199527
Newcastle United,Freddie Woodman,23,England,Goalkeeper,GK,£2.88m,Swansea City,England,"End of loanMay 31, 2020",In,2019,s,premier-league,https://www.transfermarkt.co.uk/freddie-woodman/profil/spieler/226049
Newcastle United,Matthew Longstaff,19,England,Defensive Midfield,DM,-,Newcastle United U23,England,-,In,2019,s,premier-league,https://www.transfermarkt.co.uk/matthew-longstaff/profil/spieler/484387
Newcastle United,Henri Saivet,28,Senegal,Attacking Midfield,AM,£900Th.,Bursaspor,Turkey,"End of loanJun 30, 2019",In,2019,s,premier-league,https://www.transfermarkt.co.uk/henri-saivet/profil/spieler/51540
AFC Bournemouth,Arnaut Danjuma,22,Netherlands,Left Winger,LW,£10.80m,Club Brugge KV,Belgium,£16.20m,In,2019,s,premier-league,https://www.transfermarkt.co.uk/arnaut-danjuma/profil/spieler/355861
AFC Bournemouth,Philip Billing,23,Denmark,Central Midfield,CM,£6.30m,Huddersfield Town,England,£14.85m,In,2019,s,premier-league,https://www.transfermarkt.co.uk/philip-billing/profil/spieler/320411
AFC Bournemouth,Lloyd Kelly,20,England,Left-Back,LB,£8.10m,Bristol City,England,£13.32m,In,2019,s,premier-league,https://www.transfermarkt.co.uk/lloyd-kelly/profil/spieler/480116
AFC Bournemouth,Jack Stacey,23,England,Right-Back,RB,-,Luton Town,England,£4.01m,In,2019,s,premier-league,https://www.transfermarkt.co.uk/jack-stacey/profil/spieler/249356
AFC Bournemouth,Harry Wilson,22,Wales,Right Winger,RW,£10.80m,Liverpool FC,England,Loan fee:£2.43m,In,2019,s,premier-league,https://www.transfermarkt.co.uk/harry-wilson/profil/spieler/279455
AFC Bournemouth,Jermain Defoe,37,England,Centre-Forward,CF,£1.26m,Rangers FC,Scotland,"End of loanMay 31, 2020",In,2019,s,premier-league,https://www.transfermarkt.co.uk/jermain-defoe/profil/spieler/3875
AFC Bournemouth,Brad Smith,26,Australia,Left-Back,LB,£720Th.,Cardiff City,England,"End of loanMay 31, 2020",In,2019,s,premier-league,https://www.transfermarkt.co.uk/brad-smith/profil/spieler/175745
AFC Bournemouth,Nnamdi Ofoborh,20,Nigeria,Central Midfield,CM,£135Th.,Wycombe Wanderers,England,"End of loanMay 31, 2020",In,2019,s,premier-league,https://www.transfermarkt.co.uk/nnamdi-ofoborh/profil/spieler/611906
AFC Bournemouth,Nnamdi Ofoborh,19,Nigeria,Central Midfield,CM,£135Th.,AFC Bournemouth U21,England,-,In,2019,s,premier-league,https://www.transfermarkt.co.uk/nnamdi-ofoborh/profil/spieler/611906
AFC Bournemouth,Harry Arter,30,Ireland,Central Midfield,CM,£3.15m,Fulham FC,England,"End of loanMay 31, 2020",In,2019,s,premier-league,https://www.transfermarkt.co.uk/harry-arter/profil/spieler/55742
AFC Bournemouth,Matt Butcher,23,England,Central Midfield,CM,£68Th.,St. Johnstone FC,Scotland,"End of loanMay 31, 2020",In,2019,s,premier-league,https://www.transfermarkt.co.uk/matt-butcher/profil/spieler/391132
Burnley FC,Jay Rodríguez,29,England,Centre-Forward,CF,£9.00m,West Bromwich Albion,England,£5.00m,In,2019,s,premier-league,https://www.transfermarkt.co.uk/jay-rodriguez/profil/spieler/53360
Burnley FC,Bailey Peacock-Farrell,22,Northern Ireland,Goalkeeper,GK,£1.35m,Leeds United,England,£2.48m,In,2019,s,premier-league,https://www.transfermarkt.co.uk/bailey-peacock-farrell/profil/spieler/410436
Burnley FC,Erik Pieters,30,Netherlands,Left-Back,LB,£4.50m,Stoke City,England,£990Th.,In,2019,s,premier-league,https://www.transfermarkt.co.uk/erik-pieters/profil/spieler/43763
Burnley FC,Danny Drinkwater,29,England,Central Midfield,CM,£7.20m,Chelsea FC,England,Loan,In,2019,s,premier-league,https://www.transfermarkt.co.uk/danny-drinkwater/profil/spieler/73491
Burnley FC,Aiden O'Neill,20,Australia,Central Midfield,CM,£450Th.,Central Coast Mariners,Australia,"End of loanJun 30, 2019",In,2019,s,premier-league,https://www.transfermarkt.co.uk/aiden-oneill/profil/spieler/385918
Burnley FC,Ntumba Massanka,22,England,Centre-Forward,CF,-,RWD Molenbeek (2015),Belgium,"End of loanJun 30, 2019",In,2019,s,premier-league,https://www.transfermarkt.co.uk/ntumba-massanka/profil/spieler/385922
Southampton FC,Danny Ings,26,England,Centre-Forward,CF,£13.50m,Liverpool FC,England,£19.98m,In,2019,s,premier-league,https://www.transfermarkt.co.uk/danny-ings/profil/spieler/134294
Southampton FC,Che Adams,22,England,Centre-Forward,CF,£6.30m,Birmingham City,England,£15.03m,In,2019,s,premier-league,https://www.transfermarkt.co.uk/che-adams/profil/spieler/346779
Southampton FC,Moussa Djenepo,21,Mali,Left Winger,LW,£10.80m,Standard Liège,Belgium,£14.13m,In,2019,s,premier-league,https://www.transfermarkt.co.uk/moussa-djenepo/profil/spieler/485424
Southampton FC,Kevin Danso,20,Austria,Centre-Back,CB,£7.20m,FC Augsburg,Germany,Loan fee:£3.60m,In,2019,s,premier-league,https://www.transfermarkt.co.uk/kevin-danso/profil/spieler/263236
Southampton FC,Jack Rose,25,England,Goalkeeper,GK,£90Th.,Walsall FC,England,"End of loanMay 31, 2020",In,2019,s,premier-league,https://www.transfermarkt.co.uk/jack-rose/profil/spieler/186923
Southampton FC,Jake Hesketh,24,England,Attacking Midfield,AM,£180Th.,Lincoln City,England,"End of loanMay 31, 2020",In,2019,s,premier-league,https://www.transfermarkt.co.uk/jake-hesketh/profil/spieler/315185
Southampton FC,Mario Lemina,26,Gabon,Defensive Midfield,DM,£9.45m,Galatasaray SK,Turkey,"End of loanJul 27, 2020",In,2019,s,premier-league,https://www.transfermarkt.co.uk/mario-lemina/profil/spieler/170934
Southampton FC,Mohamed Elyounoussi,25,Norway,Left Winger,LW,£8.55m,Celtic FC,Scotland,"End of loanMay 31, 2020",In,2019,s,premier-league,https://www.transfermarkt.co.uk/mohamed-elyounoussi/profil/spieler/186644
Southampton FC,Guido Carrillo,29,Argentina,Centre-Forward,CF,£4.32m,CD Leganés,Spain,"End of loanJul 20, 2020",In,2019,s,premier-league,https://www.transfermarkt.co.uk/guido-carrillo/profil/spieler/184672
Southampton FC,Harrison Reed,25,England,Defensive Midfield,DM,£2.16m,Fulham FC,England,"End of loanMay 31, 2020",In,2019,s,premier-league,https://www.transfermarkt.co.uk/harrison-reed/profil/spieler/226973
Southampton FC,Cédric Soares,28,Portugal,Right-Back,RB,£7.20m,Arsenal FC,England,"End of loanMay 31, 2020",In,2019,s,premier-league,https://www.transfermarkt.co.uk/cedric-soares/profil/spieler/112988
Southampton FC,Guido Carrillo,28,Argentina,Centre-Forward,CF,£6.75m,CD Leganés,Spain,"End of loanJun 30, 2019",In,2019,s,premier-league,https://www.transfermarkt.co.uk/guido-carrillo/profil/spieler/184672
Southampton FC,Wesley Hoedt,25,Netherlands,Centre-Back,CB,£10.80m,Celta de Vigo,Spain,"End of loanJun 30, 2019",In,2019,s,premier-league,https://www.transfermarkt.co.uk/wesley-hoedt/profil/spieler/253765
Southampton FC,Jordy Clasie,28,Netherlands,Defensive Midfield,DM,£4.95m,Feyenoord Rotterdam,Netherlands,"End of loanJun 30, 2019",In,2019,s,premier-league,https://www.transfermarkt.co.uk/jordy-clasie/profil/spieler/104223
Southampton FC,Sofiane Boufal,25,Morocco,Left Winger,LW,£10.80m,Celta de Vigo,Spain,"End of loanJun 30, 2019",In,2019,s,premier-league,https://www.transfermarkt.co.uk/sofiane-boufal/profil/spieler/232271
Southampton FC,Cédric Soares,27,Portugal,Right-Back,RB,£10.80m,Inter Milan,Italy,"End of loanJun 30, 2019",In,2019,s,premier-league,https://www.transfermarkt.co.uk/cedric-soares/profil/spieler/112988
Brighton & Hove Albion,Neal Maupay,22,France,Centre-Forward,CF,£10.80m,Brentford FC,England,£19.80m,In,2019,s,premier-league,https://www.transfermarkt.co.uk/neal-maupay/profil/spieler/217115
Brighton & Hove Albion,Adam Webster,24,England,Centre-Back,CB,£8.10m,Bristol City,England,£19.67m,In,2019,s,premier-league,https://www.transfermarkt.co.uk/adam-webster/profil/spieler/212847
Brighton & Hove Albion,Leandro Trossard,24,Belgium,Left Winger,LW,£14.40m,KRC Genk,Belgium,£18.00m,In,2019,s,premier-league,https://www.transfermarkt.co.uk/leandro-trossard/profil/spieler/144028
Brighton & Hove Albion,Matt Clarke,22,England,Centre-Back,CB,£180Th.,Portsmouth FC,England,£3.51m,In,2019,s,premier-league,https://www.transfermarkt.co.uk/matt-clarke/profil/spieler/307497
Brighton & Hove Albion,Aaron Mooy,28,Australia,Central Midfield,CM,£12.60m,Huddersfield Town,England,Loan,In,2019,s,premier-league,https://www.transfermarkt.co.uk/aaron-mooy/profil/spieler/123951
Brighton & Hove Albion,Steven Alzate,20,Colombia,Attacking Midfield,AM,-,Brighton & Hove Albion U23,England,-,In,2019,s,premier-league,https://www.transfermarkt.co.uk/steven-alzate/profil/spieler/476237
Brighton & Hove Albion,Aaron Connolly,19,Ireland,Centre-Forward,CF,-,Brighton & Hove Albion U23,England,-,In,2019,s,premier-league,https://www.transfermarkt.co.uk/aaron-connolly/profil/spieler/434207
Brighton & Hove Albion,Ales Mateju,23,Czech Republic,Left-Back,LB,£1.53m,Brescia Calcio,Italy,"End of loanJun 30, 2019",In,2019,s,premier-league,https://www.transfermarkt.co.uk/ales-mateju/profil/spieler/242078
Brighton & Hove Albion,Alexis Mac Allister,20,Argentina,Attacking Midfield,AM,£4.50m,Asociación Atlética Argentinos Juniors,Argentina,"End of loanJun 30, 2019",In,2019,s,premier-league,https://www.transfermarkt.co.uk/alexis-mac-allister/profil/spieler/534033
Brighton & Hove Albion,Tudor Baluta,20,Romania,Defensive Midfield,DM,£4.05m,FC Viitorul ,Romania,"End of loanJun 30, 2019",In,2019,s,premier-league,https://www.transfermarkt.co.uk/tudor-baluta/profil/spieler/433976
Brighton & Hove Albion,Markus Suttner,32,Austria,Left-Back,LB,£1.35m,Fortuna Düsseldorf,Germany,"End of loanJun 30, 2019",In,2019,s,premier-league,https://www.transfermarkt.co.uk/markus-suttner/profil/spieler/31514
Brighton & Hove Albion,Ezequiel Schelotto,30,Italy,Right-Back,RB,£2.70m,Chievo Verona,Italy,"End of loanJun 30, 2019",In,2019,s,premier-league,https://www.transfermarkt.co.uk/ezequiel-schelotto/profil/spieler/119164
Brighton & Hove Albion,Percy Tau,25,South Africa,Centre-Forward,CF,£3.15m,Royale Union Saint Gilloise,Belgium,"End of loanJun 30, 2019",In,2019,s,premier-league,https://www.transfermarkt.co.uk/percy-tau/profil/spieler/312239
Brighton & Hove Albion,Billy Arce,20,Ecuador,Left Winger,LW,£900Th.,CS Emelec,Ecuador,"End of loanJun 2, 2019",In,2019,s,premier-league,https://www.transfermarkt.co.uk/billy-arce/profil/spieler/450237
Brighton & Hove Albion,Jan Mlakar,20,Slovenia,Centre-Forward,CF,£1.80m,NK Maribor,Slovenia,"End of loanJun 30, 2019",In,2019,s,premier-league,https://www.transfermarkt.co.uk/jan-mlakar/profil/spieler/309180
Norwich City,Ralf Fährmann,30,Germany,Goalkeeper,GK,£4.50m,FC Schalke 04,Germany,Loan fee:£2.70m,In,2019,s,premier-league,https://www.transfermarkt.co.uk/ralf-fahrmann/profil/spieler/39015
Norwich City,Sam Byram,25,England,Right-Back,RB,£3.15m,West Ham United,England,£747Th.,In,2019,s,premier-league,https://www.transfermarkt.co.uk/sam-byram/profil/spieler/236953
Norwich City,Daniel Adshead,17,England,Central Midfield,CM,-,Rochdale AFC,England,£302Th.,In,2019,s,premier-league,https://www.transfermarkt.co.uk/daniel-adshead/profil/spieler/532464
Norwich City,Josip Drmic,26,Switzerland,Centre-Forward,CF,£2.70m,Borussia Mönchengladbach,Germany,Free transfer,In,2019,s,premier-league,https://www.transfermarkt.co.uk/josip-drmic/profil/spieler/140579
Norwich City,Patrick Roberts,22,England,Right Winger,RW,£4.50m,Manchester City,England,Loan,In,2019,s,premier-league,https://www.transfermarkt.co.uk/patrick-roberts/profil/spieler/225452
Norwich City,Rocky Bushiri,19,Belgium,Centre-Back,CB,£1.08m,KV Oostende,Belgium,?,In,2019,s,premier-league,https://www.transfermarkt.co.uk/rocky-bushiri/profil/spieler/511802
Norwich City,Ibrahim Amadou,26,France,Defensive Midfield,DM,£6.30m,Sevilla FC,Spain,Loan,In,2019,s,premier-league,https://www.transfermarkt.co.uk/ibrahim-amadou/profil/spieler/205503
Norwich City,Mason Bloomfield,23,England,Centre-Forward,CF,£68Th.,Crawley Town,England,"End of loanMay 31, 2020",In,2019,s,premier-league,https://www.transfermarkt.co.uk/mason-bloomfield/profil/spieler/339013
Norwich City,Carlton Morris,24,England,Centre-Forward,CF,£135Th.,Milton Keynes Dons,England,"End of loanMay 31, 2020",In,2019,s,premier-league,https://www.transfermarkt.co.uk/carlton-morris/profil/spieler/246963
Norwich City,Sean Raggett,26,England,Centre-Back,CB,£225Th.,Portsmouth FC,England,"End of loanMay 31, 2020",In,2019,s,premier-league,https://www.transfermarkt.co.uk/sean-raggett/profil/spieler/226219
Norwich City,Sam McCallum,19,England,Left-Back,LB,-,Coventry City,England,"End of loanMay 31, 2020",In,2019,s,premier-league,https://www.transfermarkt.co.uk/sam-mccallum/profil/spieler/618901
Norwich City,Josh Coley,21,England,Left Midfield,LM,£90Th.,Dunfermline Athletic FC,Scotland,"End of loanMay 31, 2020",In,2019,s,premier-league,https://www.transfermarkt.co.uk/josh-coley/profil/spieler/607522
Norwich City,Louis Thompson,25,Wales,Defensive Midfield,DM,£225Th.,Milton Keynes Dons,England,"End of loanMay 31, 2020",In,2019,s,premier-league,https://www.transfermarkt.co.uk/louis-thompson/profil/spieler/207771
Norwich City,Marcel Franke,26,Germany,Centre-Back,CB,£900Th.,SV Darmstadt 98,Germany,"End of loanJun 30, 2019",In,2019,s,premier-league,https://www.transfermarkt.co.uk/marcel-franke/profil/spieler/152435
Sheffield United,Oliver McBurnie,23,Scotland,Centre-Forward,CF,£7.20m,Swansea City,England,£17.19m,In,2019,s,premier-league,https://www.transfermarkt.co.uk/oliver-mcburnie/profil/spieler/298477
Sheffield United,Lys Mousset,23,France,Centre-Forward,CF,£3.15m,AFC Bournemouth,England,£9.99m,In,2019,s,premier-league,https://www.transfermarkt.co.uk/lys-mousset/profil/spieler/291422
Sheffield United,Callum Robinson,24,Ireland,Left Winger,LW,£4.05m,Preston North End,England,£7.02m,In,2019,s,premier-league,https://www.transfermarkt.co.uk/callum-robinson/profil/spieler/183299
Sheffield United,Luke Freeman,27,England,Attacking Midfield,AM,£3.15m,Queens Park Rangers,England,£5.04m,In,2019,s,premier-league,https://www.transfermarkt.co.uk/luke-freeman/profil/spieler/66923
Sheffield United,Ben Osborn,24,England,Left Midfield,LM,£2.70m,Nottingham Forest,England,£3.51m,In,2019,s,premier-league,https://www.transfermarkt.co.uk/ben-osborn/profil/spieler/218087
Sheffield United,Phil Jagielka,36,England,Centre-Back,CB,£900Th.,Everton FC,England,Free transfer,In,2019,s,premier-league,https://www.transfermarkt.co.uk/phil-jagielka/profil/spieler/13520
Sheffield United,Ravel Morrison,26,Jamaica,Attacking Midfield,AM,£270Th.,Östersunds FK,Sweden,Free transfer,In,2019,s,premier-league,https://www.transfermarkt.co.uk/ravel-morrison/profil/spieler/128907
Sheffield United,Dean Henderson,22,England,Goalkeeper,GK,£2.25m,Manchester United U23,England,Loan,In,2019,s,premier-league,https://www.transfermarkt.co.uk/dean-henderson/profil/spieler/258919
Sheffield United,Michael Verrips,22,Netherlands,Goalkeeper,GK,£1.35m,KV Mechelen,Belgium,Free transfer,In,2019,s,premier-league,https://www.transfermarkt.co.uk/michael-verrips/profil/spieler/288259
Sheffield United,Muhamed Besic,26,Bosnia-Herzegovina,Defensive Midfield,DM,£4.50m,Everton FC,England,Loan,In,2019,s,premier-league,https://www.transfermarkt.co.uk/muhamed-besic/profil/spieler/93905
Sheffield United,Jake Eastwood,23,England,Goalkeeper,GK,£90Th.,Scunthorpe United,England,"End of loanMay 31, 2020",In,2019,s,premier-league,https://www.transfermarkt.co.uk/jake-eastwood/profil/spieler/526873
Sheffield United,Callum Robinson,25,Ireland,Left Winger,LW,£4.95m,West Bromwich Albion,England,"End of loanMay 31, 2020",In,2019,s,premier-league,https://www.transfermarkt.co.uk/callum-robinson/profil/spieler/183299
Sheffield United,Ben Heneghan,26,England,Centre-Back,CB,£360Th.,Blackpool FC,England,"End of loanMay 31, 2020",In,2019,s,premier-league,https://www.transfermarkt.co.uk/ben-heneghan/profil/spieler/156939
Sheffield United,Ravel Morrison,27,Jamaica,Attacking Midfield,AM,£540Th.,Middlesbrough FC,England,"End of loanMay 31, 2020",In,2019,s,premier-league,https://www.transfermarkt.co.uk/ravel-morrison/profil/spieler/128907
